property;value;
upperLegRight;0.385233;
lowerLegRight;0.365538;
forearmLeft;0.256349;
upperarmLeft;0.247764;
shoulderHalfLeft;0.173796;
neck;0.079271;
shoulderHalfRight;0.194945;
upperarmRight;0.253136;
forearmRight;0.252989;
shoulder;0.342131;
upperBody;0.24687;
hip;0.152522;
lowerBody;0.34388;
body;0.590712;
lowerLegLeft;0.280448;
upperLegLeft;0.41997;
upperLegRight;0.385103;
lowerLegRight;0.364817;
forearmLeft;0.255561;
upperarmLeft;0.247982;
shoulderHalfLeft;0.173776;
neck;0.079271;
shoulderHalfRight;0.195049;
upperarmRight;0.275157;
forearmRight;0.221914;
shoulder;0.342187;
upperBody;0.246877;
hip;0.152527;
lowerBody;0.34389;
body;0.590729;
lowerLegLeft;0.28045;
upperLegLeft;0.419957;
upperLegRight;0.384883;
lowerLegRight;0.364979;
forearmLeft;0.256055;
upperarmLeft;0.248094;
shoulderHalfLeft;0.173715;
neck;0.0792609;
shoulderHalfRight;0.195098;
upperarmRight;0.259737;
forearmRight;0.2376;
shoulder;0.342199;
upperBody;0.24686;
hip;0.152518;
lowerBody;0.343875;
body;0.590696;
lowerLegLeft;0.280022;
upperLegLeft;0.419933;
upperLegRight;0.384791;
lowerLegRight;0.364801;
forearmLeft;0.256417;
upperarmLeft;0.248104;
shoulderHalfLeft;0.173815;
neck;0.0792409;
shoulderHalfRight;0.195065;
upperarmRight;0.25692;
forearmRight;0.240759;
shoulder;0.342285;
upperBody;0.246813;
hip;0.152609;
lowerBody;0.343828;
body;0.590602;
lowerLegLeft;0.280171;
upperLegLeft;0.41986;
upperLegRight;0.384808;
lowerLegRight;0.364714;
forearmLeft;0.257567;
upperarmLeft;0.24809;
shoulderHalfLeft;0.173758;
neck;0.079252;
shoulderHalfRight;0.19514;
upperarmRight;0.255073;
forearmRight;0.241361;
shoulder;0.342292;
upperBody;0.246851;
hip;0.152598;
lowerBody;0.343886;
body;0.590698;
lowerLegLeft;0.280204;
upperLegLeft;0.419825;
upperLegRight;0.384691;
lowerLegRight;0.364842;
forearmLeft;0.256983;
upperarmLeft;0.248044;
shoulderHalfLeft;0.173665;
neck;0.0792547;
shoulderHalfRight;0.195223;
upperarmRight;0.273408;
forearmRight;0.221496;
shoulder;0.342288;
upperBody;0.246859;
hip;0.152569;
lowerBody;0.343885;
body;0.590705;
lowerLegLeft;0.28029;
upperLegLeft;0.419802;
upperLegRight;0.384666;
lowerLegRight;0.364943;
forearmLeft;0.256052;
upperarmLeft;0.248036;
shoulderHalfLeft;0.173624;
neck;0.0792516;
shoulderHalfRight;0.195282;
upperarmRight;0.259158;
forearmRight;0.236232;
shoulder;0.342323;
upperBody;0.246848;
hip;0.152566;
lowerBody;0.34386;
body;0.59067;
lowerLegLeft;0.281057;
upperLegLeft;0.420003;
upperLegRight;0.384672;
lowerLegRight;0.364889;
forearmLeft;0.256953;
upperarmLeft;0.247868;
shoulderHalfLeft;0.173511;
neck;0.0792527;
shoulderHalfRight;0.1953;
upperarmRight;0.257394;
forearmRight;0.237922;
shoulder;0.342209;
upperBody;0.246852;
hip;0.152561;
lowerBody;0.343859;
body;0.590672;
lowerLegLeft;0.280612;
upperLegLeft;0.420423;
upperLegRight;0.384646;
lowerLegRight;0.364929;
forearmLeft;0.2577;
upperarmLeft;0.247823;
shoulderHalfLeft;0.173404;
neck;0.0792476;
shoulderHalfRight;0.195347;
upperarmRight;0.255287;
forearmRight;0.239713;
shoulder;0.342158;
upperBody;0.24684;
hip;0.152568;
lowerBody;0.343835;
body;0.590635;
lowerLegLeft;0.280649;
upperLegLeft;0.420354;
upperLegRight;0.384617;
lowerLegRight;0.364988;
forearmLeft;0.25825;
upperarmLeft;0.247755;
shoulderHalfLeft;0.173435;
neck;0.0792541;
shoulderHalfRight;0.195577;
upperarmRight;0.253786;
forearmRight;0.240963;
shoulder;0.342392;
upperBody;0.246858;
hip;0.152575;
lowerBody;0.343843;
body;0.590661;
lowerLegLeft;0.280546;
upperLegLeft;0.420466;
upperLegRight;0.384608;
lowerLegRight;0.364993;
forearmLeft;0.258003;
upperarmLeft;0.247601;
shoulderHalfLeft;0.173448;
neck;0.0792487;
shoulderHalfRight;0.195554;
upperarmRight;0.273813;
forearmRight;0.220012;
shoulder;0.342383;
upperBody;0.246846;
hip;0.152589;
lowerBody;0.343828;
body;0.590635;
lowerLegLeft;0.280853;
upperLegLeft;0.420092;
upperLegRight;0.384608;
lowerLegRight;0.365041;
forearmLeft;0.258778;
upperarmLeft;0.24769;
shoulderHalfLeft;0.173414;
neck;0.0792455;
shoulderHalfRight;0.19548;
upperarmRight;0.261663;
forearmRight;0.232088;
shoulder;0.342353;
upperBody;0.246837;
hip;0.152591;
lowerBody;0.343795;
body;0.590593;
lowerLegLeft;0.280846;
upperLegLeft;0.419972;
upperLegRight;0.384538;
lowerLegRight;0.364989;
forearmLeft;0.257923;
upperarmLeft;0.24771;
shoulderHalfLeft;0.173388;
neck;0.0792384;
shoulderHalfRight;0.195385;
upperarmRight;0.257041;
forearmRight;0.236971;
shoulder;0.342302;
upperBody;0.246821;
hip;0.152595;
lowerBody;0.34377;
body;0.590552;
lowerLegLeft;0.280829;
upperLegLeft;0.419926;
upperLegRight;0.384436;
lowerLegRight;0.365018;
forearmLeft;0.257619;
upperarmLeft;0.247526;
